Role;Name;Games;Wins;Loses;WR;K;D;A;KDA;CS;CS/M;G;G/M;KPAR;KS;GS;CP;;
Top;Odoamne;18;14;4;77.8%;1.89;1.28;7.33;7.22;274.61;8.04;13;380;56.7%;11.6%;20.1%;7;;
Top;Wunder;18;14;4;77.8%;2.44;3;7.39;3.28;271.17;7.97;13.1;386;55.5%;13.8%;20.2%;12;;
Top;BrokenBlade;18;9;9;50%;2.28;2.33;4.61;2.95;276.61;8.2;13.1;390;60.5%;20%;22%;12;;
Top;Bwipo;18;9;9;50%;3.56;3.61;5.22;2.43;224.94;7.61;11.7;395;56.2%;22.8%;21.5%;11;;
Top;HiRit;18;8;10;44.4%;2.56;2.72;5.28;2.88;242.5;7.5;11.9;368;55.5%;18.1%;20.5%;8;;
Top;Jenax;18;8;10;44.4%;2.39;2;4.78;3.58;253.33;7.96;11.8;370;59.7%;19.9%;21.2%;8;;
Top;Kryze;18;7;11;38.9%;1.83;1.94;4.67;3.34;254.39;7.51;12;355;65.4%;18.4%;21.1%;10;;
Top;WhiteKnight;18;6;12;33.3%;2.78;2.94;5.11;2.68;225.33;6.78;11.5;346;61.7%;21.7%;20.5%;7;;
Top;Szygenda;18;5;13;27.8%;1.33;2.44;4.72;2.48;266.33;7.52;12.5;352;58.6%;12.9%;20.6%;8;;
Top;Armut;17;10;7;58.8%;3.12;2.35;4.53;3.25;243.18;7.46;12.4;382;51%;20.8%;20.7%;8;;
Mid;Caps;18;14;4;77.8%;4.11;1.89;7.28;6.03;295.33;8.68;14.7;431;64.3%;23.2%;22.5%;10;;
Mid;Larssen;18;14;4;77.8%;4.28;1.44;7.06;7.85;328.44;9.61;15.3;449;69.6%;26.3%;23.7%;6;;
Mid;Abbedagge;18;9;9;50%;3.06;2.17;4.94;3.69;310.28;9.2;13.9;411;70.2%;26.8%;23.2%;11;;
Mid;Nisqy;18;9;9;50%;2.44;3;7.22;3.22;236.72;8.01;11.4;385;61.9%;15.7%;21%;11;;
Mid;Blue;18;8;10;44.4%;2.5;2.33;5.22;3.31;296.94;9.33;13.1;411;64.4%;20.8%;23.5%;9;;
Mid;Vetheo;18;8;10;44.4%;3.44;2.83;5.11;3.02;290.94;9;13.1;407;60.6%;24.4%;22.7%;9;;
Mid;Czekolad;18;7;11;38.9%;1.83;3.06;4.78;2.16;287.67;8.49;12.7;374;66.5%;18.4%;22.2%;7;;
Mid;Milica;18;5;13;27.8%;2.11;1.83;4.83;3.79;298.22;8.42;13.3;377;67.2%;20.4%;22.1%;10;;
Mid;Humanoid;17;10;7;58.8%;2.94;3.24;6.94;3.05;299.71;9.19;13.9;427;65.9%;19.6%;23.2%;8;;
Mid;MagiFelix;11;5;6;45.5%;3.45;2.45;6.09;3.89;285.27;8.99;12.9;407;63.6%;23%;23.4%;6;;
Mid;nukeduck;7;1;6;14.3%;2.14;3.43;4.43;1.92;291;8.18;13;365;70.8%;23.1%;22.6%;4;;
Jungle;Inspired;18;14;4;77.8%;3.56;1.89;6.89;5.53;223.72;6.55;12.3;360;64.2%;21.8%;19%;8;;
Jungle;Jankos;18;14;4;77.8%;4.72;2.67;6.11;4.06;221.78;6.52;12.8;375;61.1%;26.6%;19.6%;9;;
Jungle;Gilius;18;9;9;50%;1.39;3;6.56;2.65;194.83;5.78;10.7;318;69.8%;12.2%;18%;10;;
Jungle;Selfmade;18;9;9;50%;3.72;3.17;6.28;3.16;196.78;6.66;11;373;64.1%;23.8%;20.3%;8;;
Jungle;Razork;18;8;10;44.4%;3.67;3.33;6.11;2.93;205.44;6.36;11.6;359;69.3%;26%;20%;8;;
Jungle;TynX;18;8;10;44.4%;2.11;2.33;6.39;3.64;199.44;6.26;10.8;341;70.8%;17.6%;19.5%;7;;
Jungle;Dan;18;7;11;38.9%;1.94;2.56;5;2.72;203.28;6;11;324;69.8%;19.6%;19.2%;7;;
Jungle;Zanzarah;18;6;12;33.3%;2;3.39;6.22;2.43;178.78;5.38;10.3;310;64.3%;15.7%;18.4%;8;;
Jungle;Skeanz;18;5;13;27.8%;2.89;1.94;4.5;3.8;205.5;5.8;11.5;325;71.5%;28%;19.1%;10;;
Jungle;Elyoya;17;10;7;58.8%;4.35;2.29;6.71;4.82;210.59;6.46;12.2;373;73.7%;29%;20.3%;10;;
Adc;Hans sama;18;14;4;77.8%;5.72;1.83;5.83;6.3;304.94;8.92;15.7;459;71%;35.2%;24.2%;8;;
Adc;Rekkles;18;14;4;77.8%;5.61;1;7;12.61;317.61;9.34;15.9;467;71.2%;31.7%;24.4%;5;;
Adc;Neon;18;9;9;50%;3.83;2.17;4.39;3.79;291.61;8.64;14.1;418;72.2%;33.7%;23.6%;8;;
Adc;Upset;18;9;9;50%;5.33;1.78;5.28;5.97;243.17;8.23;13;439;68%;34.2%;23.9%;5;;
Adc;Jezu;18;8;10;44.4%;4.17;2.22;4.72;4;269.11;8.45;12.6;396;74.1%;34.7%;22.7%;9;;
Adc;Kobbe;18;8;10;44.4%;3.5;1.61;4.94;5.24;292.67;9.06;13.8;427;59.8%;24.8%;23.8%;9;;
Adc;Patrik;18;7;11;38.9%;3.72;2.78;3.94;2.76;296.33;8.75;13.9;410;77.1%;37.4%;24.3%;9;;
Adc;Jeskla;18;6;12;33.3%;4.44;3.06;3.56;2.62;301.5;9.08;13.9;420;62.6%;34.8%;24.9%;8;;
Adc;Carzzy;17;10;7;58.8%;3.41;3;6.82;3.41;278.65;8.54;13.5;415;68.2%;22.7%;22.5%;8;;
Adc;Crownshot;11;4;7;36.4%;4.36;2.36;4.45;3.73;345.82;10.02;15.4;445;77%;38.1%;25.8%;6;;
